date,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,pctChange,volume,openInterest,iv,itm,contractSize,Index
2023-07-13,SPY230713C00464000,2023-07-12 19:30:18+00:00,464.0,0.01,0.0,0.01,0.0,0.0,1.0,343,0.2890696093749999,False,REGULAR,62
2023-07-13,SPY230713C00466000,2023-07-12 14:24:10+00:00,466.0,0.01,0.0,0.01,-0.01,-50.0,1.0,2,0.32031929687499994,False,REGULAR,63
2023-07-13,SPY230713C00467000,2023-07-12 13:46:30+00:00,467.0,0.01,0.0,0.01,-0.01,-50.0,2.0,10,0.3320379296875,False,REGULAR,64
2023-07-13,SPY230713C00470000,2023-06-30 19:55:56+00:00,470.0,0.02,0.0,0.01,0.0,0.0,115.0,108,0.37500625,False,REGULAR,65
2023-07-13,SPY230713C00472000,2023-07-05 15:56:49+00:00,472.0,0.01,0.0,0.01,0.0,0.0,nan,1,0.398443515625,False,REGULAR,66
2023-07-13,SPY230713C00473000,2023-07-05 16:21:21+00:00,473.0,0.01,0.0,0.01,0.0,0.0,nan,1,0.414068359375,False,REGULAR,67
2023-07-13,SPY230713C00474000,2023-07-07 14:05:47+00:00,474.0,0.01,0.0,0.01,0.0,0.0,2.0,2,0.42969320312500003,False,REGULAR,68
2023-07-13,SPY230713C00477000,2023-07-07 13:46:00+00:00,477.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.4687553125,False,REGULAR,69
2023-07-13,SPY230713C00480000,2023-07-03 17:11:38+00:00,480.0,0.01,0.0,0.01,0.0,0.0,2.0,87,0.500005,False,REGULAR,70
2023-07-13,SPY230713C00481000,2023-07-03 15:42:20+00:00,481.0,0.01,0.0,0.01,0.0,0.0,nan,2,0.51562984375,False,REGULAR,71
2023-07-13,SPY230713C00482000,2023-07-03 15:07:03+00:00,482.0,0.01,0.0,0.01,0.0,0.0,nan,4,0.500005,False,REGULAR,72
2023-07-13,SPY230713C00483000,2023-07-03 15:15:49+00:00,483.0,0.01,0.0,0.01,0.0,0.0,nan,2,0.51562984375,False,REGULAR,73
